1900	4616.0404168  8.12198710109e-14  3.08468312255e-14  2.15004082846e-14  0.0  -1.24188241491e-13
3800	4541.39049925  2.49851671369e-13  2.49851671369e-13  1.76495094858e-15  1.76495094858e-15  0.0
5700	4519.80515375  2.02617525997e-13  2.73561491227e-14  2.18820976912e-14  -2.65571344076e-14  -2.65571344076e-14
7600	4468.34622067  9.09494701773e-13  1.51111633435e-13  1.69982758067e-14  -1.52219189673e-14  -7.56154087107e-14
9500	4459.3978445  1.37578296363e-13  1.27813603232e-14  0.0  -3.22591977899e-14  -7.56776188278e-14
11400	4481.02441066  1.94523068672e-14  0.0  -2.03931428275e-15  -5.88045580769e-14  -2.00771544255e-13
13300	4480.46125612  1.75674816272e-13  2.32085323188e-14  0.0  -4.84321679154e-14  -7.75890230498e-14
15200	4479.51846777  7.63727197452e-15  0.0  -3.33981101163e-14  -1.21878673433e-13  -1.21878673433e-13
17100	4491.13544783  3.21466068358e-14  3.21466068358e-14  0.0  -1.19163613114e-14  -1.13524934597e-13
19000	4498.93958715  3.63895772466e-14  7.91680901718e-15  0.0  -1.20419110889e-13  -1.20419110889e-13
