1087	0.556555752938  -0.809211894759  0.188206809795
2174	0.555582549072  -0.809591279815  0.18944653814
3261	0.555469256915  -0.809635269534  0.189590703751
4348	0.555423195606  -0.809653144057  0.1896493082
5435	0.555434200284  -0.809648874137  0.189635307273
6522	0.555422295822  -0.809653493167  0.189650452955
7609	0.555425214318  -0.809652360803  0.189646739874
8696	0.55542695983  -0.809651683541  0.189644519123
9783	0.555422925855  -0.809653248719  0.189649651392
10870	0.555422562365  -0.809653389751  0.189650113845
